#sample	lat	lon	miosture	EC	salt	pH	TC	TN	TC/TN	NH4_N	NO3_N	TP	AP	TK	AK
"N20_2"	43.0419444444444	124.173055555556	0.140115163	44.5	0.4	6.27	16.56	1.79	9.251396648	28.25959821	1.977008929	0.50137741	10.975	22.78236915	207.85
"N20_3"	43.0419444444444	124.173055555556	0.159166667	58.2	0.6	6.17	18.36754	1.87394	9.801562483	29.61347869	2.140733399	0.659020459	11.11	22.85725356	209.15
"N21_1"	43.2905555555556	124.656944444444	0.137711864	88.4	1	7.01	33.71504	3.0237	11.15025962	27.94889435	2.087469287	0.476989713	6.915	21.80224689	278.55
"N21_2"	43.2905555555556	124.656944444444	0.13312369	96.2	1	6.89	37.35728	3.34614	11.16429079	28.03168077	3.576058041	0.530138638	5.32	23.07112719	285.4
"N21_3"	43.2905555555556	124.656944444444	0.123839009	105.8	1.2	6.93	24.9447	2.37491	10.5034296	27.50636042	2.739222615	0.692933259	7.205	22.08707235	266.65
"N22_1"	43.4233333333333	124.758888888889	0.124626122	83.5	0.8	5.31	17.68	1.98	8.929292929	28.21651481	4.112528474	0.566933333	21.38	24.09	178.4
"N22_2"	43.4233333333333	124.758888888889	0.136125654	78.5	0.8	5.58	20.51048	2.15595	9.513430274	28.01333333	4.167272727	0.738372093	20.03	23.25177649	202.9
"N22_3"	43.4233333333333	124.758888888889	0.115342764	89.8	0.6	5.65	17.79085	2.02	8.807351485	27.35522755	4.860639606	0.489358762	16.345	25.4871476	173.45
"N23_1"	44.0180555555556	125.239166666667	0.187275986	66.3	0.5	6.08	22.89451	1.986989843	11.52220786	29.77640573	5.906063947	0.565070505	10.895	18.49294947	212.35
"N23_2"	44.0180555555556	125.239166666667	0.185114504	58.7	0.5	6.02	18.62211	1.792732359	10.38755724	30.06557377	5.031381733	0.742442205	12.36	20.00222288	220.45
"N23_3"	44.0180555555556	125.239166666667	0.18545082	63.8	0.5	5.78	19.90465	1.957786096	10.16691764	29.83245283	2.823647799	0.859909457	10.035	20.53986419	229.1
"N24_1"	44.3219444444444	126.026666666667	0.183830606	59.6	0.6	5.84	14.41044	1.44271	9.988452288	30.0182783	5.636084906	0.560424119	9.035	20.19992335	179.3
"N24_2"	44.3219444444444	126.026666666667	0.174757282	58.9	0.6	5.65	15.27149	1.59416	9.579646961	29.56705882	5.695294118	0.627361036	8.65	21.5866163	195.15
"N24_3"	44.3219444444444	126.026666666667	0.175097276	63.8	0.6	5.87	15.89	1.7	9.347058824	29.45801887	2.060849057	0.557692308	11.87	21.06586224	194
"N25_1"	44.4111111111111	125.818611111111	0.156981787	72.9	0.8	6.2	20.83754	1.96046	10.62890342	29.0622428	2.372427984	0.620236721	38.09	19.45366628	412.45
"N25_2"	44.4111111111111	125.818611111111	0.196798493	73.7	0.8	6.25	24.98559	2.1186	11.79344378	29.75592028	1.867526377	0.813126844	36.605	18.96755162	434.4
"N25_3"	44.4111111111111	125.818611111111	0.168789809	97.7	1	6.06	23.30738	2.06686	11.2767096	28.7532567	2.045210728	0.711184589	30.405	20.8273433	410.35
"N26_1"	44.6688888888889	125.920833333333	0.141434263	65	0.6	6.1	21.20245	1.93927	10.93321198	29.93364269	1.63062645	0.974867021	6.515	18.93617021	332.1
"N26_2"	44.6688888888889	125.920833333333	0.130275229	67	0.8	5.97	32.15816	2.86514	11.22394019	27.82489451	1.494725738	1.309912854	7.29	19.32529956	353.7
"N26_3"	44.6688888888889	125.920833333333	0.146411483	80.6	0.8	6.23	34.04245	2.81943	12.07423132	28.93665919	1.522982063	0.813188494	9.84	20.20731334	386.15
"N27_1"	45.1191666666667	126.191388888889	0.139676113	69.7	0.8	6.55	24.96164	2.34166	10.65980544	29.17505882	2.557176471	0.773349436	4.4	21.57474503	230.15
"N27_2"	45.1191666666667	126.191388888889	0.171179039	85.9	0.8	6.46	27.85072	2.63627	10.56444143	28.95679663	2.292413066	0.95	4.75	19.94633838	278.9
"N27_3"	45.1191666666667	126.191388888889	0.121485944	92.1	1	6.76	30.46916	2.86193	10.64636801	27.20502857	1.821257143	0.8503003	5.405	21.00600601	256.5
"N28_1"	45.9108333333333	126.475833333333	0.187366167	77.1	1	6.07	33.60916	3.03806	11.06270449	29.65665349	1.476679842	0.515512465	4.31	20.59210526	313.4
"N28_2"	45.9108333333333	126.475833333333	0.251559252	80	1	6.12	45.68	4.55541	10.02763747	39.28166667	2.805833333	0.603424276	7.67	21.1094098	321.75
"N28_3"	45.9108333333333	126.475833333333	0.289940828	74.7	1	6.18	39.8093	3.32137	11.98580706	33.23666667	2.1125	0.605639504	6.955	21.38761468	247.35
"N29_1"	45.3233333333333	126.428888888889	0.262096774	228	2.2	7.48	38.55208	2.63379	14.63749198	33.33770492	1.89726776	1.384184309	5.165	16.79249689	135.4
"N29_2"	45.3233333333333	126.428888888889	0.2760181	236	2.4	7.41	38.33377	2.77383	13.8197979	33.97875	2.071875	1.030463946	6.425	17.42593628	145.85
"N29_3"	45.3233333333333	126.428888888889	0.257	228	2.2	7.49	39.52	2.78	14.21582734	32.83983849	1.749663526	0.994578976	2.955	17.23651624	132.2
"N3_1"	48.9925	126.02	0.405088063	160.2	1.4	6.62	68.13012467	5.411712876	12.58938274	43.87203947	4.202302632	1.110498688	21.755	17.90026247	193.05
"N3_2"	48.9925	126.02	0.379821958	133.4	1.4	6.33	52.03	3.19992916	16.25973495	41.2784689	3.224880383	1.046237794	21.735	19.81978748	181.9
"N3_3"	48.9925	126.02	0.402777778	134.7	1.4	6.79	85.94188827	6.922692977	12.4145168	42.3627907	3.181395349	1.177047782	20.53	19.60722412	196.8
"N4_1"	48.9622222222222	125.6775	0.334473909	87.5	0.8	6.15	30.78686583	2.621982214	11.74182863	38.76632391	2.704627249	0.962355719	19.625	22.60296432	245.65
"N4_2"	48.9622222222222	125.6775	0.307045216	89	1	6.11	32.01605854	2.7832615	11.5030724	39.54081942	2.741881639	0.90753828	17.785	22.73262662	213.35
